carpark_id,development,lat,lng
1,Suntec City,1.29375,103.85718
10,The Cathay,1.2995,103.84762
11,Cineleisure,1.30151,103.83641
12,Hilton Orchard,1.30216,103.83601
13,Ngee Ann City,1.30236,103.8349
14,Wisma Atria,1.30366,103.83327
15,Wheelock Place,1.3048,103.83063
16,VivoCity P3,1.26421,103.82263
17,Sentosa,1.25017,103.83126
18,Tang Plaza,1.30491,103.83312
19,Harbourfront Centre,1.26426,103.82011
2,Marina Square,1.29115,103.85728
20,Far East Plaza,1.3071,103.83359
21,Centrepoint,1.302,103.83975
22,Concorde Hotel,1.3006,103.84191
23,ION Orchard,1.30403,103.83206
24,313@Somerset,1.30084,103.83872
26,Resorts World,1.25667,103.82012
27,Orchard Central,1.30072,103.83979
3,Raffles City,1.29382,103.85319
4,Esplanade,1.29011,103.85561
43,Westgate,1.3343,103.74282
5,Millenia Singapore,1.29251,103.86009
50,VivoCity P2,1.26426,103.82164
52,Orchard Gateway,1.30048,103.83931
53,IMM Building,1.334847,103.746815
55,Paragon,1.3038,103.83585
56,National Gallery,1.29027,103.85167
57,The Atrium@Orchard,1.299781,103.84552
58,Bt Panjang Plaza,1.37974,103.7644
59,CQ @ Clarke Quay,1.290678,103.84648
61,Bugis+,1.299748,103.85414
62,Lot One,1.385126,103.74494
63,Tampines Mall,1.352524,103.9447
64,Junction 8,1.350521,103.84859
65,Bedok Mall,1.3248,103.92939
66,Funan Mall,1.2911,103.8502
7,Orchard Point,1.30135,103.84061
8,The Heeren,1.30255,103.83739
9,Plaza Singapura,1.30103,103.84503
A0007,ANGULLIA PARK OFF STREET,1.3053280313212745,103.82957069514487
A0011,ARMENIAN STREET OFF STREET,1.2939260442319098,103.84886606187928
A0017,ARAB STREET - QUEEN STREET OFF STREET,1.3029418442251717,103.8570252731165
A0021,AMOY STREET OFF STREET,1.280790422979401,103.84717734239698
A0024,ADAM ROAD FOOD CENTRE OFF STREET,1.3241651253846232,103.81389905625699
A0035,ANTHONY ROAD OFF STREET,1.3102963501645526,103.83689301654506
A0046,ALJUNIED ROAD OFF STREET,1.3138928367737375,103.88178819343076
B0031,BEATTY ROAD OFF STREET,1.31411103114537,103.85960539693774
B0063,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305358945,103.76148104640775
B0087,BAGHDAD STREET OFF STREET,1.3013034071461544,103.86037519945218
B0088,BEDOK ROAD FOOD CENTRE OFF STREET,1.320882494257288,103.95521451777431
C0119,CEYLON ROAD OFF STREET,1.3098549757016427,103.89943305397595
C0133,CARPENTER STREET OFF STREET,1.288265760877135,103.84818289117743
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.311099801941753,103.83975443333466
C0162,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374,103.84451675349408
D0006,DUXTON HILL OFF STREET,1.279121361423107,103.84307668605454
D0026,DICKSON ROAD OFF STREET,1.305896126598381,103.85356732694177
D0028,DELTA CIRCUS FRINGE CAR PARK,1.2893051001281517,103.82465436208551
E0023,EAST COAST PARK E3 OFF STREET,1.3086487746583644,103.9362443048082
E0024,EAST COAST PARK E2 OFF STREET,1.307348456008773,103.93582213821071
E0027,EAST COAST PARK E1 OFF STREET,1.306893520703497,103.92999292150216
H0003,HAMILTON ROAD OFF STREET,1.3116896699384313,103.86174541990424
H0015,HINDOO ROAD OFF STREET,1.3085901317745132,103.85406595189491
H0022,HULLET ROAD OFF STREET,1.3032004091309377,103.83904302350693
H0024,HONG LIM PARK OFF STREET,1.2864010712092964,103.84732683484889
H0057,HINDOO ROAD-KAMPONG KA POR ROAD OFF STREET,1.307959413362438,103.85449803048786
J0017,JOO CHIAT ROAD OFF STREET,1.3089312793016843,103.90342597378925
J0054,JALAN BESAR - BEATTY ROAD OFF STREET,1.3135186603571622,103.85919495839546
J0055,JALAN SEH CHUAN OFF STREET,1.3416072968225916,103.77498352136544
J0092,JALAN KURAS OFF STREET,1.3733164289278814,103.82902743813321
J0100,JALAN PELEPAH OFF STREET,1.2740710679512592,103.79551529813891
J0122,JALAN KAYU OFF STREET,1.3988702481648212,103.87298020876878
K0037,KING GEORGES AVENUE OFF STREET,1.3102875316446452,103.86155503310928
K0039,KING GEORGES AVENUE- HORNE ROAD OFF STREET,1.310011717603521,103.86195254067123
K0082,KAMPONG BUGIS OFF STRE ET,1.3060643999336945,103.86731520521826
K0111,KINTA ROAD OFF STREET,1.309743436667126,103.8532569434198
K0121,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294,103.8540518138273
L0064,LORONG 21 GEYLANG OFF STREET,1.3138418922590445,103.87984207773486
L0078,LORONG MYDIN OFF STREET,1.3191579615926596,103.91187813269345
L0104,LORONG BEKUKONG OFF STREET,1.3902114129018883,103.98732091158162
L0107,LORONG BACHOK OFF STREET,1.3137312534590921,103.879441454655
L0116,LORONG 21 GEYLANG - GEYLANG ROAD OFF ST,1.31297192802134,103.88051592242522
L0117,LORONG 25-25A GEYLANG OFF STREET,1.3154114085899413,103.88282913196923
L0123,LORONG 9-11 GEYLANG OFF STREET,1.3132431536109048,103.87646592168618
L0124,LORONG 37 GEYLANG OFF STREET,1.315091678312372,103.88943334952766
L0125,LORONG 31 GEYLANG OFF STREET,1.3150474541189618,103.88714181883965
M0040,MACKENZIE ROAD A OFF STREET,1.305166862591867,103.84955574725188
M0059,MACKENZIE ROAD B OFF STREET,1.3058536755285977,103.8475647241317
M0076,MINBU ROAD OFF STREET,1.3252001004070917,103.84890841545035
M0078,MARITIME SQUARE D OFF STREET,1.2665572188609842,103.82037098540381
M0084,MARINA VIEW OFF STREET,1.2746496875172093,103.84947277096812
M0088,MARGARET DRIVE OFF STREET,1.3004199971190586,103.8030164003216
N0006,NEIL ROAD OFF STREET,1.2793383109971352,103.84191274173004
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885,103.86355580061468
N0013,NORTH BRIDGE ROAD OFF STREET,1.3004003577425163,103.85664662586295
P0013,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,1.2751330286026736,103.84819161849495
P0048,PEARL BANK OFF STREET,1.2833483597834672,103.84053784909122
P0054,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395,103.79131016138153
P0075,PENHAS ROAD - LAVENDER STREET OFF STREET,1.3099941806456645,103.86276472942548
P0093,PASIR PANJANG ROAD OFF STREET,1.2767043723268199,103.79566016940372
P0094,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,1.278902209141637,103.78560248250301
P0096,PENANG ROAD OFF STREET,1.29980874920638,103.84212527391578
P0106,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,1.2915978691049539,103.76812504370315
P0109,PASIR RIS PARK CAR PARK E OFF STREET,1.3845964153673076,103.94389307173311
P0111,PAHANG STREET OFF STREET,1.301759650174214,103.86086565472472
P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121,103.79247441821592
P0117,PECK SEAH STREET OFF STREET,1.2774732980425016,103.84526725130084
Q0006,QUEEN STREET OFF STREET,1.2999226816586922,103.85336325926622
Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563,103.80216512483725
S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599,103.8288231857784
S0049,Serangoon Rd-Lavender St Off Street,1.3148874577182357,103.8585875713976
S0055,SERANGOON GARDEN MARKET OFF STREET,1.3627998667047532,103.86632587825486
S0106,SIN MING DRIVE OFF STREET,1.3566926857648622,103.83606317799318
S0108,SHREWSBURY ROAD OFF ST REET,1.3186024746953806,103.85067798545586
S0112,SEAH IM ROAD OFF STREET,1.2680395173231764,103.81759598210823
S0150,SULTAN GATE - ALIWAL STREET OFF STREET,1.3024545607005944,103.86058819582028
S0166,SEMBAWANG RD-ADMIRALTY RD EAST OFF STREET,1.4536994107826589,103.83314342176924
S0171,SPOONER ROAD OFF STREET,1.2756889219219043,103.8350591496928
T0017,TIONG BAHRU PARK OFF STREET,1.2869316650017533,103.82464089829915
T0103,TEMBELING ROAD OFF STREET,1.3128601116279206,103.90081283677726
T0129,TANJONG KATONG COMPLEX,1.3168901823921382,103.89522931567416
T0140,TANJONG KATONG ROAD OFF STREET,1.3068395612884849,103.89608109782583
U0036,UPPER EAST COAST ROAD OFF STREET,1.3122387155540085,103.92605288490613
U0042,UPPER CHANGI ROAD - BEDOK ROAD OFF STREET,1.3321242011794179,103.9464677456276
V0007,VERDUN ROAD OFF STREET,1.310324224867271,103.85612855572867
W0029,WEST COAST PARK 1 OFF STREET,1.2896228087061794,103.77142607054463
W0055,WARNA ROAD OFF STREET,1.3110802058970243,103.79619690369877
Y0019,YAN KIT ROAD - CANTONMENT ROAD OFF ST,1.274548916040047,103.8414295793987
