carpark_number,latitude,longitude,area
ACB,1.3010632720874966,103.85411804993062,Kallang
ACM,1.3210042901059609,103.88506094761496,Geylang
AH1,1.328283495109407,103.84461988914568,Toa Payoh
AK19,1.36909121614356,103.83498485034056,Ang Mo Kio
AK31,1.3661204243173295,103.84663563161574,Ang Mo Kio
AK52,1.3724386334422467,103.8502956974248,Ang Mo Kio
AK9,1.3835990576551445,103.8483680866534,Ang Mo Kio
AM14,1.3687410945550118,103.84030110265202,Ang Mo Kio
AM16,1.3703498012136124,103.83571828515676,Ang Mo Kio
AM18,1.3655400127862634,103.84461939021914,Ang Mo Kio
AM19,1.3688861979339544,103.83453102382204,Ang Mo Kio
AM20,1.3646977329371188,103.84608858611756,Ang Mo Kio
AM22,1.3645882914751264,103.84765302635223,Ang Mo Kio
AM32,1.370532524461071,103.8343768155432,Ang Mo Kio
AM43,1.3686107186719942,103.8573035466674,Serangoon
AM46,1.3721783233234015,103.85339638441604,Ang Mo Kio
AM51,1.369915001718853,103.84669851649676,Ang Mo Kio
AM64,1.3714570202946914,103.8530982460572,Ang Mo Kio
AM79,1.3723282292064236,103.85132794564834,Ang Mo Kio
AM80,1.3706469901715583,103.8418614904826,Ang Mo Kio
AM81,1.3716392420558656,103.841947812524,Ang Mo Kio
AM96,1.3640741492788215,103.85094037122862,Serangoon
AR1L,1.3038767185244575,103.78263177920336,Queenstown
AR1M,1.3028486840208244,103.7836667743232,Queenstown
AR2L,1.3059132344622109,103.7811546551736,Queenstown
AR2M,1.3047388928304149,103.78167448932464,Queenstown
AR5M,1.307343526593196,103.78446333008414,Queenstown
AR7L,1.305807720561871,103.7855911365702,Queenstown
AR7M,1.3047713772680545,103.78519200383876,Queenstown
AR9,1.3072843627095665,103.78343964059528,Queenstown
AV1,1.2855825549923126,103.80321526415888,Bukit Merah
A1,1.3667143987756958,103.84171281191207,Ang Mo Kio
A10,1.3686329816140796,103.8445240151766,Ang Mo Kio
A100,1.3779874731949442,103.842602544842,Ang Mo Kio
A101,1.383038916584583,103.84173950080417,Ang Mo Kio
A102,1.368355983880076,103.83375737921092,Ang Mo Kio
A11,1.3670355338571134,103.8381810968511,Ang Mo Kio
A12,1.3685678874797558,103.83875932066393,Ang Mo Kio
A13,1.36800022165129,103.8368096118856,Ang Mo Kio
A15,1.366967610506847,103.84041745596971,Ang Mo Kio
A2,1.366237055774122,103.84304639719952,Ang Mo Kio
A20,1.3649433806415423,103.84845709182149,Ang Mo Kio
A21,1.3681275586189163,103.8463132241709,Ang Mo Kio
A23,1.3673354664536144,103.8489133401168,Ang Mo Kio
