CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
1,Marina,Suntec City,1.29375 103.85718,2487,C,LTA
2,Marina,Marina Square,1.29115 103.85728,1554,C,LTA
3,Marina,Raffles City,1.29382 103.85319,836,C,LTA
4,Marina,Esplanade,1.29011 103.85561,725,C,LTA
5,Marina,Millenia Singapore,1.29251 103.86009,1125,C,LTA
16,Harbfront,VivoCity P3,1.26421 103.82263,1038,C,LTA
17,Harbfront,Sentosa,1.25017 103.83126,1625,C,LTA
19,Harbfront,Harbourfront Centre,1.26426 103.82011,1050,C,LTA
50,Harbfront,VivoCity P2,1.26426 103.82164,719,C,LTA
20,Orchard,Far East Plaza,1.3071 103.83359,469,C,LTA
18,Orchard,Tang Plaza,1.30491 103.83312,384,C,LTA
15,Orchard,Wheelock Place,1.3048 103.83063,227,C,LTA
13,Orchard,Ngee Ann City,1.30236 103.8349,1072,C,LTA
12,Orchard,Hilton Orchard,1.30216 103.83601,183,C,LTA
11,Orchard,Cineleisure,1.30151 103.83641,264,C,LTA
21,Orchard,Centrepoint,1.302 103.83975,332,C,LTA
24,Orchard,313@Somerset,1.30084 103.83872,185,C,LTA
7,Orchard,Orchard Point,1.30135 103.84061,151,C,LTA
22,Orchard,Concorde Hotel,1.3006 103.84191,241,C,LTA
9,Orchard,Plaza Singapura,1.30103 103.84503,506,C,LTA
10,Orchard,The Cathay,1.2995 103.84762,87,C,LTA
23,Orchard,ION Orchard,1.30403 103.83206,439,C,LTA
14,Orchard,Wisma Atria,1.30366 103.83327,278,C,LTA
8,Orchard,The Heeren,1.30255 103.83739,147,C,LTA
26,Harbfront,Resorts World,1.25667 103.82012,2299,C,LTA
27,Orchard,Orchard Central,1.30072 103.83979,243,C,LTA
43,JurongLakeDistrict,Westgate,1.3343 103.74282,530,C,LTA
52,Orchard,Orchard Gateway,1.30048 103.83931,225,C,LTA
53,JurongLakeDistrict,IMM Building,1.334847 103.746815,1097,C,LTA
55,Orchard,Paragon,1.3038 103.83585,383,C,LTA
56,Marina,National Gallery,1.29027 103.85167,202,C,LTA
57,Orchard,The Atrium@Orchard,1.299781 103.84552,41,C,LTA
58,Others,Bt Panjang Plaza,1.37974 103.7644,188,C,LTA
59,Others,CQ @ Clarke Quay,1.290678 103.84648,270,C,LTA
61,Others,Bugis+,1.299748 103.85414,267,C,LTA
62,Others,Lot One,1.385126 103.74494,144,C,LTA
63,Others,Tampines Mall,1.352524 103.9447,564,C,LTA
64,Others,Junction 8,1.350521 103.84859,231,C,LTA
65,Others,Bedok Mall,1.3248 103.92939,205,C,LTA
66,Others,Funan Mall,1.2911 103.8502,360,C,LTA
A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,224,C,URA
A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,0,Y,URA
A0011,,ARMENIAN STREET OFF STREET,1.2939260442319098 103.84886606187928,42,C,URA
A0017,,ARAB STREET - QUEEN STREET OFF STREET,1.3029418442251717 103.8570252731165,48,C,URA
A0017,,ARAB STREET - QUEEN STREET OFF STREET,1.3029418442251717 103.8570252731165,1,Y,URA
A0021,,AMOY STREET OFF STREET,1.280790422979401 103.84717734239698,0,C,URA
A0024,,ADAM ROAD FOOD CENTRE OFF STREET,1.3241651253846232 103.81389905625699,31,C,URA
A0035,,ANTHONY ROAD OFF STREET,1.3102963501645526 103.83689301654506,48,C,URA
A0046,,ALJUNIED ROAD OFF STREET,1.3138928367737375 103.88178819343076,7,C,URA
B0031,,BEATTY ROAD OFF STREET,1.31411103114537 103.85960539693774,0,C,URA
B0063,,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305358945 103.76148104640775,6,Y,URA
B0063,,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305358945 103.76148104640775,99,C,URA
